"MN_NAME","pop2013","pop2013adj","emp2013","emp2013adj","unemp2013","unemp2013adj","GDPM2011","GDPM2011adj"
"Thabazimbi",87228,87018,33663,40577,6889,4031,2417551553,6855818476
"Musina",69959,69790,26167,31542,4742,2774,2005366738,5686923332
"Thulamela",632934,631407,77302,93181,47405,27736,1859883326,5274353904
"Elias Motsoaledi",255198,254583,32932,39696,19451,11381,1628750839,4618896370
"Mookgopong",36474,36386,12359,14898,2981,1744,1475869965,4185348836
"Greater Tubatse",343531,342702,50643,61045,40407,23642,1464893791,4154222029
"Ephraim Mogale",126541,126236,18765,22620,10415,6094,1040205302,2949868315
"Greater Letaba",217678,217153,28468,34315,15131,8853,773285684,2192923776
"Makhuduthamaga",280778,280101,19976,24079,26375,15432,753537298,2136920277
"Greater Giyani",249932,249329,26045,31395,18181,10638,519175241,1472304159
"Blouberg",166435,166033,16197,19524,8232,4816,499230462,1415743719
"Maruleng",97077,96842,13798,16633,7197,4211,441992876,1253426393
"Aganang",134233,133909,11659,14054,9318,5452,391323537,1109735646
"Molemole",110856,110588,15569,18768,9127,5340,360402584,1022048398
"Mutale",94020,93793,9626,11603,7228,4229,146509018,415477897
"Fetakgomo",95990,95758,9392,11321,10584,6193,83052327,235524110
"Emalahleni",404720,404086,241381,212096,41931,46401,22043977337,40261022932
"Mbombela",602572,601629,167711,147364,51685,57195,17605980444,32155484992
"Govan Mbeki",301430,300958,101381,89081,28361,31385,17033473652,31109861112
"Steve Tshwete",235209,234841,87913,77247,16978,18788,14661376118,26777472644
"Bushbuckridge",553913,553046,63106,55450,54031,59790,6752442233,12332630697
"Lekwa",118369,118183,34890,30657,9571,10591,5055193955,9232783931
"Msukaligwa",152872,152633,42642,37468,12284,13593,4693394800,8571995552
"Victor Khanye",77218,77097,22337,19627,6898,7633,3734037862,6819830273
"Thaba Chweu",100689,100532,36786,32323,7457,8252,3350526394,6119386620
"Mkhondo",176006,175731,31200,27415,13777,15246,3022135834,5519615551
"Umjindi",68727,68620,21367,18774,6180,6839,2973954137,5431616712
"Nkomazi",402227,401597,74230,65225,30479,33728,2295417061,4192339592
"Pixley Ka Seme",85183,85049,14295,12561,6361,7039,2079166783,3797381037
"Albert Luthuli",190363,190065,29800,26185,12854,14224,1725005125,3150541749
"Emakhazeni",48321,48245,13980,12284,3848,4259,1640599870,2996384363
"Dipaleseng",43382,43314,10785,9476,5024,5559,1506681811,2751797012
"Thembisile",317723,317225,62999,55356,29078,32177,1228000448,2242814599
"Dr JS Moroka",255548,255148,34610,30411,23767,26301,1170086398,2137040633
"Rustenburg",562435,563298,200517,173675,56637,41252,37283053745,61029573180
"City of Matlosana",408005,408631,109348,94711,41813,30455,25348635104,41493821608
"Tlokwe City Council",166571,166826,52836,45763,11468,8353,13502964180,22103343418
"Madibeng",488552,489302,153111,132615,52692,38378,12302982436,20139062966
"Mafikeng",298349,298807,61077,52901,26686,19437,6274051227,10270153060
"Ditsobotla",172854,173120,38456,33308,11931,8690,3734277897,6112733892
"Naledi",68344,68449,18613,16121,5162,3759,3090655095,5059171455
"Maquassi Hills",79614,79737,15609,13520,6173,4496,2917807622,4776233057
"Lekwa-Teemane",54494,54578,11626,10070,4009,2920,2217274554,3629512769
"Moses Kotane",248230,248611,47466,41112,22793,16601,1912625700,3130825359
"Ramotshere Moiloa",154240,154476,22945,19873,10253,7468,1316268095,2154632519
"Kgetlengrivier",52244,52324,15336,13283,3107,2263,1145711871,1875444724
"Mamusa",61767,61862,11200,9701,4775,3478,1098577602,1798289449
"Tswaing",127125,127320,21224,18383,6718,4893,1004658208,1644550417
"Ventersdorp",58029,58118,11970,10368,3477,2532,950759298,1556321931
"Moretele",191322,191615,30142,26107,20158,14682,634195949,1038131381
"Greater Taung",181799,182078,16837,14583,13117,9554,389774216,638031267
"Kagisano/Molopo",108264,108431,15127,13102,5153,3754,271742152,444821597
"Ratlou",109851,110019,9011,7805,5540,4035,93068359,152345950
"Sol Plaatje",253845,251730,64476,65102,23747,32079,18882969982,25134924472
"//Khara Hais",95682,94884,25691,25941,5721,7728,5932131387,7896198242
"Gamagara",42591,42236,16421,16581,2778,3753,2989229132,3978931732
"Nama Khoi",48142,47741,12630,12753,2949,3983,2129836121,2835002656
"Emthanjeni",43347,42986,10089,10187,3084,4166,2058043647,2739440442
"Ga-Segonyana",95842,95044,20391,20589,8170,11036,2045780009,2723116441
"Kai !Garib",67410,66849,28483,28760,2491,3365,1964757074,2615267657
"Phokwane",64474,63937,12896,13022,6106,8248,1859643291,2475351796
"Tsantsabane",35914,35615,11003,11110,3053,4125,1077389003,1434101269
"Siyancuma",37944,37627,8126,8205,2509,3389,999377424,1330260869
"Dikgatlong",47937,47538,8018,8096,4155,5613,990081499,1317887160
"Umsobomvu",29040,28798,6255,6316,2429,3281,916434204,1219856014
"Ubuntu",19036,18878,5142,5192,1660,2242,893390784,1189183158
"Kgatelopele",19124,18965,5486,5540,1242,1678,729839236,971481397
"Hantam",22083,21899,6388,6450,674,911,666295259,886898672
"Siyathemba",22096,21912,5493,5546,1390,1878,620797597,826337208
"Renosterberg",11235,11141,2676,2702,771,1041,601071032,800079384
"Magareng",24770,24564,3752,3788,2068,2793,567684259,755638598
"Richtersveld",12262,12160,4732,4778,853,1152,549441551,731355920
"Khâi-Ma",12757,12650,4704,4750,1049,1417,533010021,709484082
"Kareeberg",11946,11847,2923,2951,766,1035,517800491,689238835
"Karoo Hoogland",12883,12775,3738,3774,501,677,434529950,578398286
"Thembelihle",16068,15934,3948,3987,1233,1665,394836786,525563129
"Kamiesberg",10425,10338,2254,2276,789,1066,329023381,437959592
"!Kheis",17026,16884,4139,4179,1263,1706,201848141,268677956
"Mier",7167,7107,1330,1343,467,631,113820530,151505321
"Joe Morolong",91625,90861,8005,8083,3952,5339,27691383,36859711
"City of Cape Town",3827543,3864741,1323524,1174068,326660,420876,365777265116,287722350155
"Drakenstein",257142,259641,89312,79227,15041,19379,21087784504,16587763909
"Stellenbosch",159377,160926,58246,51668,8189,10551,16091399279,12657580608
"George",198204,200130,64538,57250,13223,17037,14004900499,11016329525
"Overstrand",82314,83114,27877,24729,6673,8597,12666265448,9963352045
"Mossel Bay",91523,92412,27518,24410,6430,8285,11775384128,9262580041
"Saldanha Bay",101514,102501,35136,31169,8424,10854,10691928770,8410328270
"Breede Valley",170729,172388,60024,53246,7974,10274,10261828569,8072009155
"Knysna",70266,70948,22435,19902,5832,7514,9345285258,7351051292
"Swartland",116424,117555,41571,36877,4770,6145,6569098656,5167288085
"Langeberg",100011,100983,35498,31490,3566,4595,6353961270,4998059868
"Oudtshoorn",98178,99132,23808,21119,6346,8176,6225651316,4897130573
"Bitou",50312,50801,16866,14962,5718,7367,4989620586,3924862199
"Witzenberg",118659,119812,53240,47228,3437,4429,4824279681,3794804161
"Hessequa",53874,54397,17438,15469,2255,2906,4166254741,3277198229
"Theewaterskloof",111336,112418,41486,36801,5693,7335,3985791592,3135244952
"Bergrivier",63345,63961,24299,21555,1394,1796,2695600095,2120373430
"Cape Agulhas",33811,34140,12898,11442,1623,2091,2599716773,2044951097
"Matzikama",68718,69386,24345,21596,3129,4032,2506211985,1971399732
"Cederberg",50933,51428,18958,16818,1759,2266,2429793370,1911288441
"Beaufort West",50746,51239,11261,9990,3035,3910,2128832336,1674550884
"Swellendam",36756,37114,12906,11448,1308,1686,2053679363,1615435155
"Kannaland",25347,25593,6413,5689,1059,1364,1187216213,933870613
"Prince Albert",13443,13574,3592,3187,679,875,553805835,435626627
"Laingsburg",8483,8565,3001,2662,513,661,368127367,289570953
