Statistics South Africa
Descriptive_Small_Areas
Table 1
Geography
 for Person weighted
"",
"2 Eastern Cape",6560022
"4 Free State",2745290
"7 Gauteng",12271736
"5 KwaZulu-Natal",10266803
"9 Limpopo",5404033
"8 Mpumalanga",4039491
"6 North West",3509669
"3 Northern Cape",1145529
"1 Western Cape",5822327
