hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
104139,312061,2,8,4551.9468,53,2,142.6,56.4,1,1
104162,312062,2,10,7075.8716,66,1,171.5,74.5,1,1
104162,312063,2,10,7075.8716,19,2,150.3,61.2,1,1
104162,312064,2,10,7075.8716,21,1,170.5,67.2,1,1
104162,312065,2,10,7075.8716,24,1,163.5,71.09999999999999,1,1
104161,312066,2,3,999.0116,31,2,168.7,82.7,1,1
104139,312067,2,8,4551.9468,83,1,162.5,56.8,1,1
104160,312068,2,6,1437.6227,21,1,179.2,55.6,1,1
104136,312069,2,19,2504.0603,21,2,162.1,58.8,1,1
104139,312070,2,8,4551.9468,57,1,160.5,42.3,1,1
104158,312071,2,7,2482.3057,17,2,162.1,54.2,1,1
104133,312072,2,5,7112.6519,72,2,157.2,75.90000000000001,1,1
104134,312073,2,3,932.00793,17,2,146.5,44.3,1,1
104134,312074,2,3,932.00793,27,1,165,59.5,1,1
104136,312075,2,19,2504.0603,21,2,163.5,70.5,1,1
104136,312076,2,19,2504.0603,20,2,154,47.7,1,1
104136,312077,2,19,2504.0603,24,2,163.5,63.8,1,1
104139,312079,2,8,4551.9468,30,2,156.5,49.2,1,1
104160,312080,2,6,1437.6227,38,1,166.3,33.6,1,1
104164,312081,2,2,843.23016,17,2,155.7,72.90000000000001,1,1
104164,312082,2,2,843.23016,45,2,155,70.8,1,1
104159,312084,2,3,1084.9392,16,1,161.5,52,1,1
104139,312085,2,8,4551.9468,54,1,161,52.6,1,1
104138,312086,2,3,1104.2085,-9,2,147.8,59.9,1,1
104159,312087,2,3,1084.9392,41,2,167,133.7,1,1
103796,312088,2,3,1007.6887,28,1,162.8,58.6,1,1
104052,312089,2,8,4959.1108,22,1,170.5,71.3,1,1
109926,312091,4,5,576.4906,23,,,,1,1
109963,312092,1,6,6064.9966,23,,,,1,2
103981,312093,2,5,1882.1105,45,2,161,79.40000000000001,1,1
103981,312094,2,5,1882.1105,78,2,165.5,84,1,1
103984,312095,2,7,2058.6267,66,2,154,84.3,1,1
103984,312096,2,7,2058.6267,65,1,158.3,63.4,1,1
103984,312098,2,7,2058.6267,20,2,150,68.7,1,1
103796,312100,2,3,1007.6887,66,2,146.2,77.8,1,1
104191,312101,2,2,167.91542,40,2,159,79.09999999999999,1,1
104187,312102,2,6,3044.7346,19,1,178.5,73.09999999999999,1,1
104189,312103,2,3,1778.5204,16,2,-8,-8,1,1
104170,312104,2,1,1210.8027,44,1,167.5,54.7,1,1
104193,312105,2,6,1297.5859,34,1,179.7,71.59999999999999,1,1
104189,312106,2,3,1778.5204,40,2,153.1,75.59999999999999,1,1
104169,312107,2,7,2677.9688,89,2,149.9,92.09999999999999,1,1
104239,312178,2,12,6848.3335,58,2,152.2,59.3,1,1
104239,312179,2,12,6848.3335,23,2,161.4,83.40000000000001,1,1
104239,312180,2,12,6848.3335,23,1,175,72.09999999999999,1,1
104239,312181,2,12,6848.3335,20,1,168.1,65.3,1,1
104239,312182,2,12,6848.3335,27,1,166.9,60.6,1,1
104239,312183,2,12,6848.3335,18,1,172.7,57.7,1,1
104236,312184,2,6,2468.1477,17,,,,1,1
103817,312185,2,10,3063.563,19,2,156.4,79.40000000000001,1,1
104249,312187,2,9,2167.5706,26,2,154.5,59.3,1,1
104249,312188,2,9,2167.5706,19,1,170.1,66,1,1
104245,312189,2,9,4613.8521,80,2,157.1,96.09999999999999,1,1
104232,312190,2,5,2800.0574,18,1,167.2,69.09999999999999,1,1
104233,312191,2,12,2446.0313,20,2,165.2,71.3,1,1
104233,312192,2,12,2446.0313,28,,,,1,1
104249,312194,2,9,2167.5706,51,2,149.6,74.59999999999999,1,1
104227,312195,2,8,3078.7195,16,1,175.5,64.8,1,1
104249,312197,2,9,2167.5706,71,1,166,67.40000000000001,1,1
104249,312198,2,9,2167.5706,16,2,159.3,59.8,1,1
104227,312199,2,8,3078.7195,52,,,,1,1
106987,312200,2,7,1417.7205,55,2,151.2,53.3,1,1
104033,312201,2,8,3115.1252,34,2,159.2,101,1,1
104046,312202,2,9,2256.4797,68,2,145.6,51,1,1
106792,312203,2,5,3070.9397,42,1,175.5,93.2,1,1
104046,312204,2,9,2256.4797,26,2,162.8,91.90000000000001,1,1
104051,312205,2,5,800,35,2,158.8,72,1,1
104033,312206,2,8,3115.1252,80,1,156.6,-8,1,1
104033,312207,2,8,3115.1252,69,2,158.8,48.6,1,1
103975,312208,2,3,991.63037,23,1,180,71.90000000000001,1,1
104035,312209,2,2,1118.618,15,,,,1,1
104047,312210,2,7,812.17255,26,2,64.09999999999999,65.3,1,1
104032,312211,2,4,2525.9194,27,2,164.5,72.5,1,1
104037,312212,2,2,982.45215,37,2,160,70.09999999999999,1,1
104032,312213,2,4,2525.9194,93,2,-8,-8,1,1
104034,312214,2,4,970,27,2,158,46.7,1,1
104146,312216,2,9,781.41669,15,1,151.5,41.6,1,1
104146,312217,2,9,781.41669,16,2,161.5,54.6,1,1
104145,312219,2,2,1150.1709,72,2,155.1,67.40000000000001,1,1
104068,312220,2,4,1233.3333,20,2,160.9,66.3,1,1
104049,312221,2,1,170.86316,48,2,146,66.8,1,1
104041,312222,2,10,1523.0492,17,2,156.1,67,1,1
104041,312223,2,10,1523.0492,64,2,153.4,76.7,1,1
104047,312224,2,7,812.17255,48,2,156.3,74.59999999999999,1,1
104147,312225,2,5,2614.6855,39,1,168.4,58.4,1,1
104040,312226,2,4,1970.6315,18,,,,1,1
104040,312227,2,4,1970.6315,56,2,157.8,68,1,1
104067,312228,2,3,389.64282,47,2,156,88.2,1,1
104067,312229,2,3,389.64282,17,1,149.9,39.3,1,1
104032,312230,2,4,2525.9194,35,1,164,60.3,1,1
104051,312231,2,5,800,28,1,174,64.09999999999999,1,1
104034,312232,2,4,970,51,2,160,58.9,1,1
104034,312233,2,4,970,57,1,167,75.7,1,1
104035,312234,2,2,1118.618,67,2,151,61.6,1,1
104146,312235,2,9,781.41669,21,1,157.8,58.2,1,1
104155,312236,2,8,3185.6594,37,2,151.6,99.90000000000001,1,1
104046,312237,2,9,2256.4797,16,2,158,78,1,1
104148,312238,2,5,1546.5048,61,2,152.4,50,1,1
104041,312239,2,10,1523.0492,32,2,155.4,84,1,1
104041,312240,2,10,1523.0492,15,1,173,47.5,1,1
104066,312241,2,8,1358.1221,57,2,161.6,90.09999999999999,1,1
104146,312242,2,9,781.41669,57,1,172.6,95.3,1,1
104146,312243,2,9,781.41669,60,2,153.8,71.3,1,1
104050,312244,2,3,1430.8334,40,2,159,87.7,1,1
104050,312245,2,3,1430.8334,46,1,174.6,76.5,1,1
104064,312246,2,6,1295.8633,76,,,,1,1
104147,312247,2,5,2614.6855,60,2,149.1,77.59999999999999,1,1
110555,312248,3,4,2084.1565,15,1,159,40.8,1,1
