hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
103034,301011,3,3,2844.2944,-9,,,,1,4
103037,301012,3,3,11367.377,66,2,162,72.7,1,4
103037,301013,3,3,11367.377,26,1,161,62,1,4
103037,301014,3,3,11367.377,78,2,156,75.2,1,4
103050,301015,3,3,15400,46,2,170,108,1,4
103046,301016,3,4,5277.9326,-9,,,,1,4
103046,301017,3,4,5277.9326,-9,,,,1,4
103049,301018,3,4,5096.4043,52,2,161,107,1,4
103049,301019,3,4,5096.4043,25,2,-8,-8,1,4
103049,301020,3,4,5096.4043,80,1,-8,-8,1,4
103034,301022,3,3,2844.2944,17,2,165,55.8,1,4
107090,301023,3,3,2081.2605,17,1,176,72.5,1,4
103034,301024,3,3,2844.2944,-9,,,,1,4
103045,301025,3,5,18000.529,47,1,-8,-8,1,4
103052,301026,3,5,5129.2612,68,1,160,49.2,1,4
103059,301027,3,4,3887.6909,25,2,162,66.40000000000001,1,4
103046,301028,3,4,5277.9326,-9,,,,1,4
103045,301029,3,5,18000.529,38,2,-8,-8,1,4
103058,301031,3,4,10944.588,41,2,162,74.2,1,4
103058,301033,3,4,10944.588,25,,,,1,4
103045,301034,3,5,18000.529,62,1,171,87.2,1,4
103045,301035,3,5,18000.529,63,2,156,69.90000000000001,1,4
103049,301036,3,4,5096.4043,77,2,-8,-8,1,4
103058,301038,3,4,10944.588,21,2,-8,-8,1,4
103046,301040,3,4,5277.9326,51,2,159,105,1,4
103058,301041,3,4,10944.588,66,1,186,50,1,4
103050,301043,3,3,15400,38,1,168,83.59999999999999,1,4
103052,301045,3,5,5129.2612,69,2,167,106,1,4
103006,301047,3,4,14267,16,1,162,49.3,1,4
103013,301048,3,4,26921.973,34,1,187,90.3,1,4
103021,301049,3,2,2870,37,2,160,64.2,1,3
103025,301050,3,4,8983.333,35,1,171.4,59,1,3
103025,301051,3,4,8983.333,17,1,169.3,47.7,1,3
103009,301052,3,5,16719.008,82,1,163,56,1,4
103013,301053,3,4,26921.973,20,2,170,90.8,1,4
103006,301054,3,4,14267,47,1,182,72.7,1,4
103022,301055,3,2,12500,43,1,185,71.40000000000001,1,4
103013,301056,3,4,26921.973,36,2,173,75,1,4
103025,301057,3,4,8983.333,59,1,167.8,77.40000000000001,1,3
103025,301058,3,4,8983.333,60,2,154.3,66.3,1,3
103026,301059,3,4,650,17,2,150,52.3,1,1
103011,301060,3,2,17959.166,54,2,159,92.7,1,4
103007,301061,3,4,13890.695,41,,,,1,
103026,301062,3,4,650,35,2,161,96.09999999999999,1,1
103006,301064,3,4,14267,43,2,164,70.40000000000001,1,4
103009,301065,3,5,16719.008,65,2,164,108,1,4
103009,301066,3,5,16719.008,47,2,163,137,1,4
112562,301067,3,6,3593.1833,36,2,152.7,41.4,1,1
102152,301068,3,4,3114.8123,38,2,155.7,51.1,1,1
103011,301069,3,2,17959.166,23,,,,1,4
112542,301070,3,6,1716.9926,22,1,164.6,48.4,1,1
112550,301071,3,5,1060,15,1,159.7,63.3,1,1
102167,301072,3,5,2463.8081,14,2,153.1,63.1,1,1
102016,301073,3,6,5463.9063,50,1,157.1,67.59999999999999,1,1
112162,301074,4,9,5155.1787,16,2,145.5,52,1,1
102166,301075,3,5,5333.3335,22,2,-8,-8,1,1
102458,301076,3,1,3770.2039,35,2,158,76.90000000000001,1,1
102016,301077,3,6,5463.9063,48,2,162.7,74.90000000000001,1,1
102151,301079,3,7,1770.547,38,2,170,58.2,1,1
112563,301080,3,2,1936.4874,65,1,172.3,64.40000000000001,1,1
112563,301081,3,2,1936.4874,66,2,158.5,62.6,1,1
103073,301082,3,4,1500,18,1,157,57.2,1,1
103090,301083,3,2,2981.1484,27,1,173,65,1,1
103062,301084,3,3,3325,37,1,160,54.9,1,1
103254,301085,3,1,288.31177,39,2,-3,-8,1,1
103062,301086,3,3,3325,35,2,158,118,1,1
103087,301087,3,1,40,23,2,164,54.8,1,1
103073,301088,3,4,1500,29,1,157,79.59999999999999,1,1
103088,301090,3,4,3543.062,43,2,156,81.7,1,1
103088,301091,3,4,3543.062,54,1,166,106,1,1
103073,301092,3,4,1500,26,2,151,54.2,1,1
103086,301093,3,1,920,66,2,155,54.6,1,1
103075,301094,3,1,851.07861,74,2,152,37,1,1
103246,301095,3,7,7063.0967,67,1,155,66,1,1
103255,301096,3,3,2102.0669,28,1,173,-3,1,1
103071,301099,3,1,3840,74,2,-8,-8,1,1
103063,301100,3,3,5750,35,1,181,75.59999999999999,1,1
103109,301101,3,7,6261.9712,28,,,,1,1
103165,301102,3,3,997.58307,44,2,156.3,67.8,1,1
103175,301103,3,6,2305.0679,16,2,-8,-8,1,2
103175,301104,3,6,2305.0679,41,2,-8,-8,1,2
103178,301105,3,6,25328.9,39,2,-8,-8,1,2
103178,301106,3,6,25328.9,40,1,-8,-8,1,2
103156,301107,3,5,2538.1433,15,2,-8,-8,1,2
103156,301108,3,5,2538.1433,48,2,-8,-8,1,2
103156,301110,3,5,2538.1433,20,1,-8,-8,1,2
102160,301111,3,1,5690.7671,38,1,181,80.5,1,1
103263,301112,3,5,10614.021,41,1,178,89.90000000000001,1,1
103109,301113,3,7,6261.9712,15,,,,1,1
103152,301114,3,15,6014.3516,20,1,170.1,54.4,1,2
103109,301115,3,7,6261.9712,63,,,,1,1
112076,301117,3,5,6193.5474,37,2,141,75,1,1
103109,301121,3,7,6261.9712,24,,,,1,1
102161,301123,3,5,3954.4946,38,2,152.5,77.2,1,1
102166,301124,3,5,5333.3335,53,1,180,102.5,1,1
102166,301125,3,5,5333.3335,47,2,162.9,103.9,1,1
101659,301126,3,5,2720,24,2,163.2,55.6,1,1
101666,301127,3,2,2115.7825,56,2,158.8,56.9,1,1
101669,301128,3,4,14934.916,39,2,164.3,129.4,1,1
103154,301130,3,3,2006.6199,26,1,179,76,1,2
103109,301131,3,7,6261.9712,23,,,,1,1
103152,301132,3,15,6014.3516,47,2,160.5,54.2,1,2
103152,301133,3,15,6014.3516,18,1,-8,-8,1,2
101660,301134,3,5,5178.333,23,1,114,50.3,1,1
101670,301135,3,6,7021.6318,14,2,161.2,54.4,1,1
101663,301136,3,4,4846.5718,18,1,163.4,60.1,1,1
101670,301137,3,6,7021.6318,18,2,157.9,60.6,1,1
101671,301138,3,3,9257.3105,22,1,165.8,53.8,1,1
101671,301139,3,3,9257.3105,47,2,154.4,68.40000000000001,1,1
103152,301140,3,15,6014.3516,15,1,173.9,57.7,1,2
103152,301141,3,15,6014.3516,16,2,160.2,52.1,1,2
103158,301142,3,4,7558.3335,24,2,157,79.8,1,2
103441,301144,3,4,22061.246,46,,,,1,
103157,301145,3,1,870,76,1,160,81.2,1,2
103153,301146,3,2,6592.6328,20,2,155,41.9,1,1
103158,301147,3,4,7558.3335,32,1,179,86.2,1,2
103154,301148,3,3,2006.6199,70,2,-8,-8,1,2
103152,301149,3,15,6014.3516,45,2,161.7,71.8,1,2
103152,301150,3,15,6014.3516,38,2,165.8,88.90000000000001,1,2
101671,301151,3,3,9257.3105,51,1,171.9,89.8,1,1
101707,301152,3,11,4086.6667,19,1,164.1,61,1,1
101701,301153,3,7,2290,15,1,140.1,33.7,1,1
101670,301154,3,6,7021.6318,46,2,150,83.40000000000001,1,1
101693,301155,3,5,4563.8467,32,,,,1,1
101663,301156,3,4,4846.5718,45,2,157.8,95.09999999999999,1,1
101707,301157,3,11,4086.6667,47,2,147.6,80.2,1,1
101692,301158,3,2,10549.775,25,,,,1,1
101663,301159,3,4,4846.5718,43,,,,1,1
101673,301160,3,1,1080,53,1,162.5,62.8,1,1
101674,301161,3,4,3150.1831,61,2,151,87.90000000000001,1,1
101656,301163,3,5,2288.2219,16,2,155.6,42.8,1,1
101692,301164,3,2,10549.775,30,1,176.1,90,1,1
101693,301165,3,5,4563.8467,20,,,,1,1
101686,301166,3,7,6910,69,2,151.1,68.7,1,1
101707,301167,3,11,4086.6667,48,1,160.2,59.8,1,1
101700,301168,3,6,2096.7029,28,1,180.2,45.2,1,1
101707,301171,3,11,4086.6667,14,2,151.6,49.5,1,1
101676,301172,3,3,17525,43,1,165,57.6,1,2
101676,301173,3,3,17525,33,2,151,49.5,1,1
101700,301174,3,6,2096.7029,23,,,,1,1
101700,301175,3,6,2096.7029,59,2,157.3,128.3,1,1
101700,301176,3,6,2096.7029,63,1,167.6,84.40000000000001,1,1
101664,301177,3,7,8314.8633,26,2,149,61.9,1,1
101664,301178,3,7,8314.8633,27,2,153,69.59999999999999,1,1
101707,301179,3,11,4086.6667,21,2,149.1,69.8,1,1
101664,301180,3,7,8314.8633,19,2,-8,-8,1,1
101669,301181,3,4,14934.916,41,1,168.4,62.9,1,1
101657,301182,3,4,9350,38,2,144.5,66.5,1,1
101674,301183,3,4,3150.1831,41,2,161.6,104.6,1,1
101674,301184,3,4,3150.1831,17,1,173.9,57.5,1,1
101670,301185,3,6,7021.6318,22,2,163.9,59.7,1,1
101664,301186,3,7,8314.8633,63,1,163,111,1,1
101657,301187,3,4,9350,16,2,152.2,69.09999999999999,1,1
101688,301188,3,1,4815,50,2,162.7,53.8,1,1
101698,301189,3,4,9587.9111,43,,,,1,1
101667,301191,3,6,2837.9026,19,1,164,56.9,1,1
101670,301192,3,6,7021.6318,46,,,,1,1
101667,301193,3,6,2837.9026,38,2,162.2,71.3,1,1
101656,301194,3,5,2288.2219,20,,,,1,1
101667,301195,3,6,2837.9026,17,1,161.7,48.4,1,1
101706,301196,3,2,3883.3333,39,1,173,91.40000000000001,1,1
101690,301197,3,4,15037.935,37,1,177,92.3,1,1
101690,301198,3,4,15037.935,34,,,,1,1
101659,301199,3,5,2720,27,1,175.2,59.6,1,1
101686,301200,3,7,6910,23,2,151,64.2,1,1
112327,301202,1,6,5491.6665,50,1,165.5,79.09999999999999,1,1
112332,301204,1,3,3125,29,1,-3,59.4,1,1
112335,301207,1,2,521.89917,26,2,163.2,52.6,1,1
112332,301208,1,3,3125,23,2,166.3,65.59999999999999,1,1
112692,301209,2,2,910,31,2,204.5,67.40000000000001,1,1
112342,301210,2,9,243.56789,46,1,168.4,41.7,1,1
112694,301211,2,9,17270,15,2,163,48.9,1,1
112342,301213,2,9,243.56789,25,2,159.5,28.1,1,1
112342,301214,2,9,243.56789,22,2,63.7,48.4,1,1
112496,301215,2,5,2310,36,2,171.5,85.7,1,1
113940,301217,3,3,28500,15,2,159,50.9,1,1
113940,301218,3,3,28500,46,1,169,88.09999999999999,1,1
103361,301219,3,2,3523.6118,41,1,158.6,38.7,1,1
103359,301220,3,3,1310,25,1,170.2,64,1,1
103359,301221,3,3,1310,19,1,176,63.5,1,1
103359,301222,3,3,1310,16,2,165.1,62.7,1,1
103358,301223,3,6,2588.3848,44,2,158.6,129.8,1,1
103379,301224,3,7,1475,44,1,169.8,58.7,1,1
103358,301225,3,6,2588.3848,26,,,,1,1
103358,301226,3,6,2588.3848,56,,,,1,1
103360,301227,3,8,10916.367,51,2,146.3,45.7,1,1
103360,301228,3,8,10916.367,27,2,162.4,61.5,1,1
103361,301229,3,2,3523.6118,-9,1,170,57.9,1,1
103360,301230,3,8,10916.367,30,1,165.6,57.1,1,1
103360,301231,3,8,10916.367,27,1,158.4,58.7,1,1
103360,301232,3,8,10916.367,26,1,158.9,49.6,1,1
103362,301233,3,2,312.76886,68,2,157,79.5,1,1
103362,301234,3,2,312.76886,15,1,149.3,40.5,1,1
103375,301235,3,5,6100,46,1,170.4,59.8,1,1
103380,301236,3,2,446.06732,44,2,154.6,68.8,1,1
103372,301237,3,1,1057.6942,73,2,152.7,71.3,1,1
103374,301238,3,5,3175,39,2,144,53.5,1,1
103374,301239,3,5,3175,40,1,-8,-8,1,1
103374,301240,3,5,3175,16,1,158,46,1,1
103375,301241,3,5,6100,18,2,155.7,46.1,1,1
103370,301242,3,2,1370,48,2,163,63.3,1,1
103379,301243,3,7,1475,37,2,159.5,80.3,1,1
103382,301244,3,5,1850,36,2,164.9,74.90000000000001,1,1
103382,301245,3,5,1850,48,1,173.5,89.7,1,1
103367,301246,3,9,1889.1013,19,2,148,57.3,1,1
103367,301247,3,9,1889.1013,36,2,155,75.90000000000001,1,1
103375,301248,3,5,6100,42,2,152.7,79.90000000000001,1,1
112568,301250,3,6,13571.232,17,1,166.5,60.5,1,1
103368,301251,3,3,548.85046,22,2,156,44.2,1,1
103368,301252,3,3,548.85046,31,2,160,71.8,1,1
112568,301253,3,6,13571.232,57,2,162.2,76.8,1,1
112156,301254,4,13,3378.9719,-9,,,,1,1
102151,301255,3,7,1770.547,39,1,164.6,88.90000000000001,1,1
103370,301256,3,2,1370,20,2,160,52.1,1,1
112896,301257,1,2,3687.4109,44,1,173.9,60.6,1,1
103385,301258,3,2,520,33,2,154,97.90000000000001,1,1
103363,301259,3,1,2715,31,1,173.5,64.90000000000001,1,1
103386,301260,3,1,106,33,1,158.2,53.1,1,1
103357,301261,3,1,2331.0056,49,1,181,91,1,1
112156,301262,4,13,3378.9719,-9,,,,1,1
112483,301263,2,1,868.16217,25,1,167.2,63,1,1
103364,301264,3,1,50.666668,47,2,162.6,59.5,1,1
103378,301265,3,1,1390,23,2,162.4,69.2,1,1
112156,301266,4,13,3378.9719,-9,,,,1,1
103379,301267,3,7,1475,20,1,169.9,60.9,1,1
103379,301268,3,7,1475,16,1,152.1,37.3,1,1
103377,301269,3,1,1100,31,1,179.8,67.8,1,1
103385,301270,3,2,520,20,2,159,54.2,1,1
103367,301272,3,9,1889.1013,41,1,172,79.09999999999999,1,1
112569,301274,3,3,1187.3333,37,2,149.5,50.3,1,1
112763,301275,2,6,2500.5474,23,2,173,,1,1
102151,301276,3,7,1770.547,16,1,167.1,53.8,1,1
112568,301277,3,6,13571.232,26,1,165,54.9,1,1
112568,301278,3,6,13571.232,24,2,164.5,75.5,1,1
103236,301279,3,8,1799.7201,18,2,163,81.8,1,1
103224,301280,3,2,1826.7714,49,2,-8,-8,1,1
103222,301281,3,2,891.66602,20,1,166,72.5,1,1
103241,301282,3,2,1940,62,1,156.4,46.4,1,1
175145,301284,3,7,4660,44,1,171,86,1,2
103220,301285,3,2,1205.6727,27,2,157.6,73,1,1
103215,301286,3,2,5466.3335,23,2,163.7,61.4,1,1
103215,301287,3,2,5466.3335,31,1,165.6,57.1,1,1
109368,301288,3,10,3610,65,1,166.1,55.6,1,2
103221,301289,3,2,900,30,2,-8,-8,1,1
103239,301290,3,1,1217,29,1,-8,-8,1,1
103236,301292,3,8,1799.7201,22,2,164,59.9,1,1
103213,301293,3,1,1350,32,2,150.1,61.6,1,1
103241,301294,3,2,1940,66,2,142,55.7,1,1
103237,301295,3,2,2732.665,58,1,169,80,1,1
103237,301296,3,2,2732.665,26,2,164,59.7,1,1
103236,301297,3,8,1799.7201,36,2,167,108,1,1
103238,301300,3,2,2852.9458,25,2,155,67,1,1
103321,301301,4,2,2247.7798,34,2,163,51.9,1,1
103305,301302,4,4,4643.667,32,1,168.7,60,1,1
103304,301303,4,4,2242.1084,30,2,162,85.59999999999999,1,1
103307,301304,4,4,8894.9414,36,2,161,85.8,1,1
103302,301306,4,4,12101.035,27,2,161,75.7,1,1
103306,301307,4,2,2600,49,1,170,56.7,1,1
103306,301308,4,2,2600,20,1,175,70.2,1,1
103308,301309,4,1,400,28,1,176,64.5,1,1
103307,301310,4,4,8894.9414,40,1,168,69,1,1
111298,301312,2,5,1859.3339,28,2,157,47.4,1,1
113067,301313,4,6,5300,36,2,160.8,79.90000000000001,1,1
113067,301314,4,6,5300,52,2,164.5,95.8,1,1
112526,301315,4,2,3916.9189,34,1,178,72.2,1,1
112540,301316,4,3,2850,51,2,157.8,64.59999999999999,1,1
103422,301317,4,6,30750,68,1,167,97.7,1,1
103422,301318,4,6,30750,47,2,151,85.59999999999999,1,1
103423,301319,4,6,3534.6877,39,1,162,81.8,1,1
103423,301320,4,6,3534.6877,36,2,165,82.09999999999999,1,1
103423,301321,4,6,3534.6877,18,2,157,46.8,1,1
103422,301323,4,6,30750,16,2,154,75.3,1,1
103425,301324,4,3,1099.9442,44,2,160,112,1,1
103426,301325,4,1,361.297,52,2,151,68.8,1,1
103430,301327,4,6,3956.2581,28,2,164,63.5,1,1
103427,301329,4,5,803.76135,24,2,152.5,69.5,1,1
103429,301330,4,2,3451.3113,37,1,173,59.5,1,1
103429,301331,4,2,3451.3113,31,2,160,67.59999999999999,1,1
103433,301332,4,7,1587.3125,19,1,172,56.4,1,1
103427,301333,4,5,803.76135,16,2,154.5,66,1,1
103433,301334,4,7,1587.3125,49,2,160,99.40000000000001,1,1
103433,301335,4,7,1587.3125,47,2,159,93.3,1,1
103433,301336,4,7,1587.3125,16,2,148,61.2,1,1
103433,301337,4,7,1587.3125,58,1,167,56.6,1,1
103451,301338,4,4,1419.3118,24,1,164,46.2,1,1
103451,301339,4,4,1419.3118,56,2,143,73.40000000000001,1,1
103451,301340,4,4,1419.3118,45,1,172.9,50.8,1,1
103438,301341,4,4,6890.3911,41,2,161,91.59999999999999,1,1
103438,301342,4,4,6890.3911,22,1,174,65.09999999999999,1,1
103439,301343,4,6,2538.9924,37,2,161,85.40000000000001,1,1
103436,301344,4,2,323.47757,54,2,162,98.40000000000001,1,1
103437,301345,4,4,2607.2346,26,2,167,95.8,1,1
103439,301346,4,6,2538.9924,19,1,167,52.4,1,1
103146,301348,4,5,1469.9047,15,2,-3,-3,1,1
103146,301349,4,5,1469.9047,39,2,164,63.1,1,1
103147,301351,4,6,2492.7502,77,2,148.5,,1,1
103147,301352,4,6,2492.7502,82,1,160.5,85.40000000000001,1,1
107584,301359,3,5,1223.7651,21,,,,1,1
107593,301360,3,3,944.17981,17,,,,1,1
107613,301361,3,2,1570,60,2,148.9,60,1,1
107613,301362,3,2,1570,21,1,174,53.1,1,1
107593,301363,3,3,944.17981,38,2,164.9,78.90000000000001,1,1
107587,301364,3,1,700,34,1,175.1,70.5,1,1
107588,301365,3,3,600,39,2,159.2,96.2,1,1
107592,301367,3,5,1464.2578,49,1,167,68.09999999999999,1,1
107599,301368,3,1,200,41,2,160.3,43.1,1,1
107584,301371,3,5,1223.7651,39,2,152.1,74,1,1
107597,301372,3,4,2917.2813,16,2,133.2,59.2,1,1
107597,301373,3,4,2917.2813,33,2,155.2,67.2,1,1
102951,301376,3,3,10983.252,34,,,,1,1
107608,301378,3,3,1623.0804,33,1,172.8,80.09999999999999,1,1
105325,301379,2,6,5211,15,1,165.6,61.2,1,1
101884,301380,2,5,1742.3325,26,2,158.5,43.6,1,2
105327,301381,2,2,2030,63,1,167,110,1,1
105327,301384,2,2,2030,71,2,145.8,75.7,1,1
111297,301385,2,4,2257.1663,71,2,166.5,57.7,1,1
107549,301386,2,7,2062.8411,63,2,144.5,70.09999999999999,1,1
103389,301387,3,7,5363.333,20,2,154,51.1,1,1
103333,301389,3,5,6749.2803,43,2,158,86.3,1,1
103333,301390,3,5,6749.2803,19,2,150,67.09999999999999,1,1
103390,301391,3,9,5002.0557,27,,,,1,1
103335,301394,3,4,7168.291,63,,,,1,1
103353,301396,3,4,6881.811,20,,,,1,1
113119,301397,2,7,6585.3311,21,1,167.8,54.6,1,1
113119,301398,2,7,6585.3311,42,2,162.3,79.90000000000001,1,1
105233,301399,1,7,1929.8212,36,1,175.6,52.2,1,1
105156,301400,2,2,1287.6478,77,1,167.4,61.4,1,1
103348,301401,3,3,2985.0764,50,1,177,85.3,1,1
103348,301402,3,3,2985.0764,15,1,165,48.7,1,1
103389,301405,3,7,5363.333,50,1,166,55.4,1,1
103389,301406,3,7,5363.333,22,1,168,48.4,1,1
103389,301407,3,7,5363.333,45,2,-3,-3,1,1
103349,301408,3,8,3912.9231,27,,,,1,1
102556,301409,3,6,6454.5034,15,1,170,55.6,1,1
102556,301410,3,6,6454.5034,32,1,176,83,1,1
103351,301412,3,6,11478.218,47,2,158,69.7,1,1
102556,301413,3,6,6454.5034,37,2,-8,-8,1,1
113100,301415,2,7,2880.8237,56,2,156.1,61.4,1,1
113097,301416,2,16,2980,15,1,152.3,35.2,1,1
113097,301417,2,16,2980,28,1,172.3,68.59999999999999,1,1
103333,301418,3,5,6749.2803,16,2,155,63.2,1,1
107953,301419,1,3,612,43,1,167.7,55,1,1
112916,301420,1,8,6376.5811,30,1,174.5,74.90000000000001,1,1
102554,301421,3,4,2500,21,2,146,41.1,1,1
102554,301422,3,4,2500,16,2,151,53.1,1,1
102669,301423,3,3,5290.5049,55,,,,1,1
103346,301424,3,2,5329.9409,27,2,166.5,76.2,1,1
103338,301425,3,3,3585.791,43,1,168,61.6,1,1
105288,301426,3,2,3003.302,43,2,-8,-8,1,1
103390,301427,3,9,5002.0557,18,2,155,61.7,1,1
103390,301429,3,9,5002.0557,41,2,162,95.5,1,1
103341,301430,3,4,28898.113,16,1,173,50.7,1,1
103341,301431,3,4,28898.113,44,1,173,103,1,1
103353,301432,3,4,6881.811,46,1,168,81.90000000000001,1,1
103353,301433,3,4,6881.811,44,2,145,63.4,1,1
103348,301434,3,3,2985.0764,37,2,165,74,1,1
103341,301435,3,4,28898.113,37,2,160,102,1,1
103389,301436,3,7,5363.333,17,1,167.6,49.8,1,1
103333,301437,3,5,6749.2803,44,1,165,66,1,1
103345,301438,3,4,1227.4817,42,2,164,91.40000000000001,1,1
103345,301439,3,4,1227.4817,15,1,179,62.1,1,1
103340,301440,3,5,8023.2202,47,2,156,72.3,1,1
103340,301441,3,5,8023.2202,17,1,166,48.2,1,1
103335,301442,3,4,7168.291,56,,,,1,1
103332,301443,3,3,6039.1465,32,2,161,92.40000000000001,1,1
103342,301444,3,4,5900.3403,28,1,162,76.90000000000001,1,1
103351,301445,3,6,11478.218,19,1,183,60.6,1,1
113102,301446,2,3,1450,45,2,160.4,50.2,1,1
103335,301448,3,4,7168.291,20,,,,1,1
103462,301449,2,5,1545.1459,78,2,153,79.5,1,1
103462,301450,2,5,1545.1459,25,2,160,58.3,1,1
101014,301454,2,6,1307.4182,15,1,,-3,1,1
101646,301456,2,10,2361.0337,15,1,,47.7,1,1
103465,301459,2,4,1129.2528,30,2,155,75.09999999999999,1,1
103465,301460,2,4,1129.2528,37,1,158,55.2,1,1
103464,301461,2,6,4186.3418,57,2,157,57.8,1,1
103479,301463,2,4,1068.9169,36,2,162,62.4,1,1
103464,301464,2,6,4186.3418,26,1,167,58.8,1,1
103464,301465,2,6,4186.3418,23,2,158,46,1,1
103462,301466,2,5,1545.1459,47,2,155,56,1,1
103454,301467,2,4,1245.5052,42,1,163.4,62.7,1,1
103454,301468,2,4,1245.5052,31,2,159.3,49.4,1,1
103467,301469,2,4,250,32,2,155,91.90000000000001,1,1
103453,301470,2,4,4974.1328,48,2,-3,150,1,1
103481,301471,2,4,2425.9097,20,2,153,48.5,1,1
103452,301472,2,6,1925.1549,21,1,176.5,57,1,1
103472,301473,2,10,2459.9824,15,2,158.4,56.3,1,1
103472,301475,2,10,2459.9824,19,1,164.4,62.5,1,1
103472,301476,2,10,2459.9824,16,2,153.3,48.7,1,1
103472,301477,2,10,2459.9824,71,2,-5,-5,1,1
103472,301478,2,10,2459.9824,18,2,161.8,52.8,1,1
103473,301479,2,3,1084.3456,22,1,168,78.3,1,1
103473,301480,2,3,1084.3456,51,2,155,56.6,1,1
103473,301481,2,3,1084.3456,19,1,166,54.4,1,1
103466,301482,2,1,619.27057,33,1,183,95,1,1
103468,301484,2,3,1922.3201,25,1,185,73.59999999999999,1,1
103472,301485,2,10,2459.9824,43,1,157.9,47.4,1,1
103472,301486,2,10,2459.9824,44,1,170.4,60.4,1,1
103472,301487,2,10,2459.9824,41,2,54.2,59.4,1,1
103472,301488,2,10,2459.9824,20,1,165,63,1,1
103457,301489,2,9,3610.3816,23,2,152,49.3,1,1
103457,301490,2,9,3610.3816,43,2,154,94,1,1
103457,301491,2,9,3610.3816,54,1,169,64.90000000000001,1,1
103457,301492,2,9,3610.3816,78,2,145,67.2,1,1
103457,301493,2,9,3610.3816,16,1,164,62.6,1,2
103457,301494,2,9,3610.3816,18,1,169,59,1,1
103463,301496,2,5,1788.1493,43,1,172,85.90000000000001,1,1
103463,301497,2,5,1788.1493,33,2,163,100,1,1
103481,301498,2,4,2425.9097,47,2,159,60.4,1,1
103481,301500,2,4,2425.9097,53,1,161,90.5,1,1
112401,301501,2,9,1848.8739,44,2,165.5,90.40000000000001,1,1
112401,301502,2,9,1848.8739,20,1,174,82.5,1,1
112501,301503,2,2,821.2536,45,1,168.8,65.5,1,1
112398,301504,2,4,720,32,2,162.3,55.7,1,1
101547,301505,2,7,1379.9941,18,2,158,54.3,1,1
101526,301506,2,4,900.53564,22,2,152,56.9,1,1
102616,301507,2,1,385.24921,20,2,157.8,47.3,1,1
101526,301508,2,4,900.53564,24,2,163,48.6,1,1
101527,301509,2,7,1005.3285,53,2,155.4,67.7,1,1
101527,301510,2,7,1005.3285,23,1,170.2,50.5,1,1
101527,301511,2,7,1005.3285,25,2,151,56,1,1
102615,301512,2,4,1548.0819,54,2,155.9,47,1,1
102624,301513,2,6,1724.8516,57,2,159.3,88.3,1,1
102617,301514,2,6,1314.0452,67,2,162.5,72,1,1
102617,301515,2,6,1314.0452,30,2,167.1,53.4,1,1
101547,301516,2,7,1379.9941,42,2,162,71.3,1,1
101512,301517,2,8,2050,22,2,156,63,1,1
101512,301518,2,8,2050,17,2,159,46.1,1,1
101517,301520,2,7,1552.6777,23,2,162,36,1,1
101517,301521,2,7,1552.6777,20,2,158.4,38,1,1
101514,301522,2,1,475.43201,17,1,173,70,1,1
101527,301523,2,7,1005.3285,19,1,163,51.9,1,1
101513,301525,2,3,1426.7473,67,2,147,51.9,1,1
101512,301526,2,8,2050,79,2,152,42.4,1,1
101520,301527,2,3,1189.3352,15,2,150.5,39.4,1,1
101523,301528,2,3,2559.7656,21,2,162,63.6,1,1
101522,301529,2,6,5476.6216,49,1,160,51.2,1,1
101519,301530,2,4,2016.8335,54,2,156,114,1,1
101519,301531,2,4,2016.8335,24,2,160,61.6,1,1
101525,301532,2,1,2094.7761,25,1,172,61.1,1,1
101522,301533,2,6,5476.6216,55,2,168,61.3,1,1
101517,301534,2,7,1552.6777,56,1,161.4,35.5,1,1
101517,301535,2,7,1552.6777,16,2,165.4,41.4,1,1
101512,301536,2,8,2050,37,1,175,75.90000000000001,1,1
101517,301537,2,7,1552.6777,41,2,168.3,47.2,1,1
101521,301538,2,4,565.67053,45,1,171,58.8,1,1
101522,301539,2,6,5476.6216,59,1,166,55.4,1,1
101522,301540,2,6,5476.6216,15,2,169,56.7,1,1
101521,301541,2,4,565.67053,44,2,163,71,1,1
101518,301542,2,3,1010.5331,81,2,-8,-8,1,1
101518,301543,2,3,1010.5331,33,2,161,66.09999999999999,1,1
102623,301545,2,5,1399.3341,50,2,150.2,64,1,1
102618,301546,2,8,5567.9688,20,2,151.5,48.9,1,1
102618,301547,2,8,5567.9688,18,2,146,43.6,1,1
101548,301548,2,1,920,33,1,171,60.7,1,1
102614,301549,2,8,4969.1631,77,2,154.1,69.90000000000001,1,1
101541,301550,2,3,3802.1184,18,1,183,66.8,1,1
102625,301551,2,5,2922.4639,25,1,171.5,65.59999999999999,1,1
102625,301552,2,5,2922.4639,46,2,164.3,105.5,1,1
102636,301553,2,6,969.39313,55,2,148.1,45.1,1,1
102636,301554,2,6,969.39313,19,2,153.7,52.4,1,1
102618,301555,2,8,5567.9688,65,2,156.5,52.3,1,1
102618,301556,2,8,5567.9688,30,2,163.4,44.8,1,1
102618,301557,2,8,5567.9688,32,2,140.5,35.1,1,1
102636,301559,2,6,969.39313,17,1,166.2,56.9,1,1
102625,301560,2,5,2922.4639,18,1,-8,-8,1,1
101524,301561,2,3,520,18,2,159,46.7,1,1
